,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
FAM223B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM224A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM224B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM225A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
FAM225B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FAM226A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM226B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM227A,31,55,53,44,74,140,115,108,161,305,485,496,370,319,473,434
FAM227B,16,21,11,15,37,35,46,38,32,45,70,63,38,71,71,43
FAM228A,2,0,2,0,4,0,1,4,4,3,2,2,9,2,8,6
FAM228B,26,11,11,11,60,47,48,43,64,91,110,103,115,81,67,30
FAM229A,20,8,12,3,32,28,25,12,4,5,1,6,20,15,11,3
FAM229B,55,50,34,43,143,130,112,134,190,184,272,244,167,186,254,176
FAM230B,0,1,1,0,1,2,0,0,3,1,5,5,1,4,2,3
FAM230C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM231A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM231D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM24A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FAM24B,7,11,9,10,22,31,26,31,53,60,77,56,82,49,52,35
FAM24B-CUZD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM25A,1,0,0,0,0,0,0,0,9,5,11,5,3,7,16,36
FAM25BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM25C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM25G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM26D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM26E,0,0,0,0,1,2,0,0,9,8,8,1,2,6,3,3
FAM26F,7,5,4,5,11,4,10,4,59,9,18,9,19,11,11,13
FAM27A,1,0,2,1,0,1,2,5,10,13,15,25,11,14,7,13
FAM27B,0,0,0,1,0,0,1,2,0,0,0,4,0,4,0,0
FAM27C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM27E2,0,2,1,2,1,8,6,5,5,3,9,6,3,11,7,5
FAM27E3,15,50,28,31,43,111,81,62,125,139,211,145,82,199,226,124
FAM27L,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0
FAM32A,470,482,407,432,1071,1468,1443,1336,1851,1997,2242,2033,1018,2417,2464,1994
FAM35A,74,88,76,87,160,245,303,230,553,555,677,491,369,576,621,503
FAM35BP,0,0,0,0,0,1,1,0,1,2,2,0,0,0,0,0
FAM35DP,0,1,0,0,1,0,3,1,1,0,1,1,0,0,0,4
FAM3A,294,208,191,192,625,652,671,574,517,492,472,595,406,671,629,515
FAM3B,1,2,0,0,3,0,3,2,12,11,9,3,56,52,62,77
FAM3C,1106,847,854,836,3092,2659,3025,2809,10972,6833,8431,7474,6052,6317,6899,8533
FAM3D,0,0,0,0,2,2,4,0,0,5,2,3,2,9,8,1
FAM41AY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM41AY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM41C,6,11,6,16,17,23,30,29,59,81,69,76,69,85,73,52
FAM43A,4,4,2,1,19,26,13,10,83,30,12,11,70,24,14,9
FAM43B,0,0,1,1,2,3,2,4,1,1,1,0,0,1,3,0
FAM45A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FAM45B,4,7,8,8,20,12,17,12,26,29,34,22,20,29,28,24
FAM46A,82,48,49,40,240,144,160,116,128,330,385,319,318,461,507,379
FAM46B,8,3,5,3,26,41,41,38,132,68,97,88,84,86,99,133
FAM46C,11,9,7,4,20,12,16,9,22,27,48,36,50,73,102,45
FAM46D,0,2,0,0,3,0,0,0,0,2,4,3,0,4,0,0
FAM47A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM47B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM47C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM47E,3,4,3,4,12,16,19,18,18,27,54,49,47,37,49,26
FAM47E-STBD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM49A,261,83,104,82,381,232,260,170,611,500,463,273,323,376,324,213
FAM49B,337,261,201,174,918,874,859,686,2282,1903,2058,1883,1153,1762,1772,1993
FAM50A,433,332,355,319,876,1099,1054,966,1713,1771,1874,1979,1765,1897,1857,1757
FAM50B,44,54,54,47,64,152,136,100,130,102,112,113,80,155,180,104
FAM53A,18,13,2,8,22,25,35,25,31,14,11,23,23,32,31,29
FAM53B,117,139,150,154,293,487,443,428,606,689,746,795,248,778,686,707
FAM53C,333,230,226,226,811,745,821,744,1316,1337,1671,1371,1552,1759,1853,1325
FAM57A,235,140,147,152,421,415,405,398,936,758,952,848,495,834,814,709
FAM57B,1,0,0,1,0,2,0,4,4,2,3,2,2,4,4,2
FAM58A,71,73,69,59,152,210,202,195,292,227,256,250,204,326,325,231
FAM60A,486,320,315,295,1214,1026,1053,912,2090,2512,3169,2650,1500,2881,3087,2594
FAM63A,134,127,138,134,285,394,466,427,644,766,997,1072,342,794,972,951
FAM63B,98,84,48,62,172,248,271,185,536,1256,1558,1062,774,1531,1971,1202
FAM64A,14,12,5,5,18,41,19,11,672,130,93,54,172,119,106,99
FAM65A,884,718,623,639,1811,2267,2408,2069,2975,3434,3561,3222,1979,3885,3639,3313
FAM65B,2,10,16,10,1,15,14,13,3,28,30,25,11,73,82,22
FAM65C,23,33,21,20,61,158,176,100,197,186,166,189,426,251,222,264
FAM66A,1,1,1,1,1,2,0,2,8,7,7,8,4,2,2,2
FAM66B,6,1,1,1,12,6,12,9,17,7,9,6,8,9,13,6
FAM66C,5,9,10,10,9,26,24,24,31,27,34,29,76,71,108,83
FAM66D,0,3,1,1,11,6,9,8,1,0,1,2,19,16,16,16
FAM66E,0,0,0,0,1,0,0,1,0,1,2,0,1,0,2,0
FAM69A,53,33,22,20,65,42,54,33,220,119,150,116,238,162,110,68
FAM69B,17,12,16,5,49,32,52,44,65,39,42,63,49,45,61,40
FAM69C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM71A,0,0,0,0,4,0,0,0,1,1,0,1,2,0,1,1
FAM71B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FAM71C,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
FAM71D,0,0,0,0,1,0,1,0,0,1,2,1,0,2,2,2
FAM71E1,13,18,19,9,37,49,43,46,15,29,30,47,25,30,28,27
FAM71E2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
FAM71F1,0,0,0,0,0,0,1,0,2,2,4,1,3,2,2,1
FAM71F2,7,7,4,11,15,33,22,18,55,88,117,95,129,81,77,72
FAM72A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM72B,0,2,0,0,3,7,6,3,54,12,13,5,21,4,13,10
FAM72C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM72D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM73A,148,134,125,124,323,349,379,347,824,1229,1507,1492,522,1307,1474,1364
FAM73B,97,133,98,98,218,381,369,289,525,555,641,698,563,651,729,741
FAM74A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM74A3,1,1,1,1,3,5,2,3,19,20,18,23,38,18,18,14
FAM74A4,1,1,0,0,1,2,1,0,5,1,7,5,6,6,2,4
FAM74A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM76A,44,41,28,40,109,100,111,98,193,329,391,344,208,329,353,247
FAM76B,68,67,65,61,137,210,196,189,666,734,765,697,754,757,751,561
FAM78A,2,3,11,4,3,18,13,16,10,4,16,17,6,15,20,20
FAM78B,2,3,3,3,9,6,9,5,9,11,16,7,1,13,9,4
FAM81A,35,38,41,35,88,147,133,126,217,315,421,426,56,190,226,284
FAM81B,0,0,2,2,0,4,6,2,0,5,2,5,12,5,15,5
FAM83A,1,0,0,2,3,0,0,0,37,5,3,2,18,8,1,23
FAM83A-AS1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0
FAM83B,82,38,51,49,227,244,264,228,1107,1149,1373,1320,685,869,949,1797
FAM83C,1,0,1,0,1,1,1,0,2,2,4,2,4,3,4,1
FAM83C-AS1,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,1
FAM83D,35,22,16,12,42,72,55,20,1157,183,150,77,206,174,145,173
FAM83E,1,4,5,3,1,7,2,2,4,16,18,14,7,27,23,47
FAM83F,15,26,16,14,41,85,79,83,99,141,166,169,46,164,198,164
FAM83G,81,36,37,43,252,289,332,268,216,351,386,466,160,615,642,524
FAM83H,513,517,463,416,1139,1991,2008,1757,1144,1891,1969,2024,750,2521,2475,2548
FAM83H-AS1,15,28,24,20,28,68,81,81,77,182,256,246,72,165,226,289
FAM84A,132,219,190,155,489,688,776,821,470,346,605,853,405,470,882,1267
FAM84B,994,973,840,718,2017,3632,3210,2573,8206,7795,9241,7275,6677,8142,8660,8202
FAM86A,36,35,27,42,81,80,91,78,193,114,128,142,85,134,138,162
FAM86B1,52,24,23,26,83,70,59,42,125,136,118,113,123,72,72,108
FAM86B2,4,1,2,1,8,3,3,5,4,6,12,13,11,13,18,10
FAM86B3P,22,27,20,19,61,46,47,34,113,106,115,116,183,103,124,72
FAM86C1,43,46,43,41,100,164,153,101,171,149,177,173,83,171,207,163
FAM86C2P,42,40,25,35,88,95,70,48,121,88,108,126,79,74,67,88
FAM86DP,59,54,39,38,135,189,147,129,258,267,311,240,216,330,304,382
FAM86EP,27,27,19,20,86,68,66,66,104,117,142,98,88,137,135,143
FAM86FP,13,14,9,7,43,51,54,40,38,86,74,73,104,108,98,69
FAM86HP,5,3,4,11,25,20,23,16,59,59,53,41,96,39,44,56
FAM86JP,32,24,18,15,36,20,22,21,62,47,34,26,62,77,72,42
FAM87A,0,1,0,0,0,0,0,1,0,1,1,0,2,0,1,1
FAM87B,0,0,1,1,4,1,1,1,9,3,3,3,16,10,4,3
FAM89A,53,24,20,27,82,75,83,79,123,72,118,102,80,69,70,95
FAM89B,247,237,263,220,593,1103,902,831,429,881,921,835,312,1035,1039,802
FAM8A1,235,279,231,205,472,729,714,651,754,1143,1302,1212,660,1392,1400,1117
FAM90A1,2,7,5,2,17,12,12,7,22,29,30,20,25,19,28,27
FAM90A10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A25P,1,0,1,0,6,5,5,4,7,7,7,5,13,6,5,4
FAM90A27P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A2P,1,1,0,0,1,2,0,1,0,1,1,0,3,1,2,2
FAM90A7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM91A1,196,222,212,175,440,642,646,521,2022,2201,2410,2173,1863,2327,2306,2008
FAM92A1,135,91,87,71,268,219,208,202,524,524,653,561,371,578,636,459
FAM92A1P2,0,0,0,0,0,0,0,1,2,4,7,3,4,3,4,4
FAM92B,1,0,0,0,1,0,4,0,0,0,1,1,1,1,4,0
FAM95A,0,0,0,0,0,0,2,0,14,12,29,22,10,10,12,10
FAM95B1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FAM95C,25,25,17,23,51,58,77,46,476,566,529,462,1094,383,316,363
FAM96A,236,218,204,193,569,620,566,542,1225,999,1239,1206,729,1003,966,832
FAM96B,438,339,282,264,1055,1039,940,866,1370,1074,1191,1105,1403,1263,1344,1108
FAM98A,242,292,250,230,482,853,907,847,1638,1236,1588,1591,674,1222,1536,1762
FAM98B,73,115,88,75,165,296,316,324,1526,1292,1474,1257,677,1270,1342,1150
FAM98C,58,61,53,67,136,182,171,164,230,220,230,233,231,261,252,227
FAM99A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM99B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM9A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM9B,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FAM9C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FAN1,106,124,95,62,259,311,292,244,656,641,755,742,812,705,814,573
FANCA,34,29,20,14,77,102,73,43,970,352,309,173,552,300,275,320
FANCB,2,2,1,1,6,3,7,3,103,27,21,22,47,23,26,22
FANCC,54,45,45,54,131,170,177,146,501,412,422,413,246,404,437,343
FANCD2,29,36,23,20,61,132,98,82,1219,433,460,304,560,436,404,471
FANCD2OS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FANCE,10,17,9,9,24,30,34,31,231,130,125,85,77,112,130,108
FANCF,68,102,76,83,128,283,251,237,236,382,518,448,183,440,581,407
FANCG,55,75,42,43,102,153,139,96,902,270,303,244,336,296,289,260
FANCI,68,54,48,41,106,207,146,112,2281,824,647,426,685,733,670,621
FANCL,24,21,18,20,64,79,70,45,314,223,244,188,250,150,197,176
FANCM,12,22,16,9,37,57,47,52,223,138,210,159,93,169,220,167
FANK1,61,65,53,48,102,133,150,133,150,291,355,389,233,296,353,392
FANK1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FAP,0,1,1,0,2,1,1,1,15,7,2,4,3,3,1,2
FAR1,231,145,152,152,524,502,507,448,2556,2089,2460,2197,2033,2170,2232,2217
FAR2,78,51,41,36,139,165,134,111,467,243,269,189,333,554,569,575
FAR2P1,0,0,0,0,0,1,0,0,1,2,0,1,1,1,0,1
FAR2P2,8,16,14,10,12,28,20,20,50,21,42,63,27,31,52,40
FARP1,2224,2082,1944,1854,4396,5695,5717,4958,5512,8231,8847,8697,4649,10042,9549,7439
FARP2,103,58,75,70,208,226,242,238,317,420,440,578,280,450,548,522
FARS2,61,68,59,52,163,221,208,164,378,241,293,264,177,256,267,247
FARSA,442,432,370,366,897,1168,1239,1088,1687,1065,1384,1416,888,1250,1327,1422
FARSB,243,188,156,130,659,518,507,414,1850,810,1003,792,1034,822,916,914
FAS,224,370,335,299,487,1161,995,860,1511,2021,2371,2512,847,2140,2089,2679
FAS-AS1,0,2,0,1,0,4,1,1,2,4,8,2,4,4,3,4
FASLG,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0
FASN,923,572,722,957,2416,2469,4345,4274,8477,5996,9298,10586,3188,7991,9050,12483
FASTK,316,374,271,270,718,1051,971,836,1007,927,939,1012,885,1094,1061,935
FASTKD1,79,72,49,51,167,196,184,175,454,307,420,548,384,229,302,462
FASTKD2,231,227,166,144,507,493,565,460,1544,1388,1582,1448,945,1350,1406,1242
FASTKD3,35,43,53,43,93,124,146,93,219,220,383,269,143,236,336,183
FASTKD5,175,135,136,132,338,405,411,358,908,868,837,778,595,1034,886,775
FAT1,2201,3133,3130,3064,4098,8349,9517,7970,11342,24440,26730,24745,7533,33521,34324,25148
FAT2,4,10,2,1,1,9,11,11,75,76,71,59,21,110,69,71
FAT3,9,1,7,7,15,19,21,23,80,34,55,63,49,31,49,80
FAT4,23,37,39,51,85,122,152,92,216,408,527,476,208,561,516,290
FATE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAU,1442,837,710,703,3475,2453,2315,1945,6208,4611,4277,4100,5332,4952,4660,4208
FAXC,4,17,14,18,24,47,64,58,56,99,167,171,26,134,157,157
FAXDC2,18,49,46,38,88,147,138,106,69,162,209,179,39,190,203,134
FBF1,26,38,26,23,78,113,98,89,264,95,119,186,148,134,157,180
FBL,653,270,260,200,1628,940,840,619,4176,1793,1640,1267,2425,1780,1696,1371
FBLIM1,984,624,539,517,2845,2854,2763,2561,2908,4546,4555,4441,2713,5409,4958,5214
FBLL1,0,1,0,0,9,29,40,35,0,0,1,2,4,3,6,2
FBLN1,23,82,62,50,73,520,405,345,496,1102,921,761,125,1246,965,163
FBLN2,4,1,1,2,9,13,10,9,17,28,20,21,1,33,18,7
FBLN5,69,57,68,71,104,75,103,100,305,101,181,175,89,55,101,89
FBLN7,15,11,5,3,10,11,10,4,56,100,68,46,67,141,130,41
FBN1,789,887,721,624,1169,2668,3083,2536,4237,9313,10984,11154,4985,20800,19556,15632
FBN2,151,70,70,62,207,116,105,77,1246,551,398,386,177,246,189,548
FBN3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
FBP1,6,11,13,12,44,53,48,34,72,84,73,60,55,60,44,32
FBP2,1,0,1,0,2,1,4,0,6,5,7,6,7,3,2,1
FBRS,579,455,361,354,1095,1365,1287,1185,1243,1282,1314,1300,1128,1876,1706,1379
FBRSL1,436,322,353,358,946,1153,1311,1155,464,733,610,710,536,993,929,736
FBXL12,142,84,80,81,339,317,296,236,446,373,416,342,491,394,461,337
FBXL13,6,4,4,6,14,20,20,17,28,32,42,49,35,36,58,41
FBXL14,78,86,66,63,174,295,240,222,183,248,248,212,95,401,387,212
FBXL15,103,118,110,99,218,342,289,288,151,99,106,151,108,236,208,156
FBXL16,98,65,35,46,131,115,98,73,107,99,103,63,95,144,99,84
FBXL17,128,133,99,105,269,295,346,303,392,846,939,940,195,905,783,750
FBXL18,115,165,154,128,270,589,554,452,689,724,907,771,285,805,998,999
FBXL19,293,247,210,215,457,754,731,650,625,535,564,704,270,747,804,839
FBXL19-AS1,18,38,46,52,29,173,192,166,131,207,260,324,140,260,310,398
FBXL2,69,63,74,57,177,215,236,190,328,515,694,617,261,429,563,535
FBXL20,103,123,110,104,258,307,353,277,485,650,890,754,629,702,777,725
FBXL21,2,0,0,3,3,1,3,1,9,4,4,6,11,6,11,4
FBXL22,2,3,1,3,3,10,8,14,7,6,13,4,1,7,8,9
FBXL3,141,132,120,110,255,448,446,383,919,1320,1570,1050,579,1485,1484,949
FBXL4,126,110,80,79,217,284,276,235,426,574,770,659,262,530,690,573
FBXL5,473,292,266,280,976,783,838,761,1801,2240,2404,2158,1665,2450,2359,1725
FBXL6,108,66,76,89,224,317,353,248,504,444,366,366,362,389,353,467
FBXL7,46,24,22,26,53,62,76,41,175,51,42,58,85,58,58,57
FBXL8,33,29,29,40,84,87,95,74,48,49,28,54,87,82,52,41
FBXO10,54,64,71,77,109,190,210,189,214,323,389,391,120,298,352,330
FBXO11,279,267,239,225,579,762,828,704,1972,2181,2413,2025,1304,2276,2240,1966
FBXO15,10,9,8,6,27,22,20,21,40,26,23,38,19,14,28,27
FBXO16,8,18,14,21,24,65,51,37,51,38,61,74,50,50,71,63
FBXO17,449,229,312,357,726,592,696,704,1132,1143,1356,1648,874,832,980,1021
FBXO18,439,332,311,280,767,975,905,859,1563,1357,1647,1808,1191,1587,1631,1718
FBXO2,24,42,41,56,58,146,186,195,80,147,180,296,92,207,296,436
FBXO21,283,281,231,216,734,755,757,718,1345,1945,2164,1784,732,2150,2098,1494
FBXO22,97,126,85,92,233,327,289,224,659,470,555,619,373,508,633,525
FBXO22-AS1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FBXO24,2,0,1,0,2,1,5,1,8,5,4,7,9,4,6,4
FBXO25,143,141,128,145,368,385,464,424,506,609,720,641,334,678,652,525
FBXO27,60,53,46,34,110,169,160,122,292,217,297,241,229,244,237,289
FBXO28,299,266,240,219,503,719,730,578,1889,1610,1943,1640,1292,1593,1837,1332
FBXO3,142,186,153,151,242,538,509,449,709,1178,1541,1475,463,1274,1414,1136
FBXO30,54,60,53,37,141,154,188,138,977,711,854,565,920,768,864,559
FBXO31,214,178,162,139,399,526,527,407,547,839,850,722,476,925,958,580
FBXO32,215,83,83,85,407,273,249,232,368,356,362,320,492,418,335,438
FBXO33,101,84,84,85,196,263,280,252,584,545,598,643,426,689,706,629
FBXO34,140,143,148,155,308,417,490,434,692,1018,1029,977,362,1046,966,906
FBXO36,44,44,41,39,73,116,124,108,135,179,211,210,102,216,228,156
FBXO38,193,231,188,177,427,635,637,596,846,1330,1699,1407,807,1529,1724,1317
FBXO39,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
FBXO4,43,28,21,18,74,66,72,57,239,143,173,152,151,181,172,125
FBXO40,1,1,2,0,8,3,6,6,5,14,12,12,28,14,14,8
FBXO41,141,126,116,109,211,235,224,200,509,467,462,454,460,477,459,398
FBXO42,128,110,104,96,284,379,373,288,510,644,603,541,276,741,657,577
FBXO43,1,2,1,1,1,8,3,2,86,22,15,12,27,10,16,10
FBXO44,123,120,138,124,261,374,392,368,389,480,564,651,465,468,556,607
FBXO45,40,44,36,34,103,135,139,112,546,430,555,375,281,488,563,407
FBXO46,118,83,71,54,297,253,241,217,222,182,215,230,216,329,323,286
FBXO47,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,1
FBXO48,7,7,8,12,13,16,22,17,27,34,69,54,31,44,62,35
FBXO5,22,38,19,18,75,79,79,49,686,192,254,121,226,179,225,146
FBXO6,65,102,71,67,97,169,182,133,232,223,263,286,143,168,214,225
FBXO7,684,684,560,558,1738,1938,1997,1663,2402,2656,2992,2856,1704,2888,2920,2356
FBXO8,72,57,67,52,145,188,177,168,305,293,387,408,252,330,355,337
FBXO9,352,191,232,226,697,775,776,726,1187,1394,1569,1469,1100,1592,1524,1294
FBXW10,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0
FBXW11,299,282,262,250,588,890,942,806,1515,1745,1990,2010,727,1810,2032,1873
FBXW12,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
FBXW2,236,310,258,233,560,882,912,680,2147,2574,2995,2639,1531,2438,2798,2584
FBXW4,142,167,149,168,281,457,496,428,691,1011,1002,927,442,1043,979,847
FBXW4P1,1,5,3,2,8,3,5,6,24,22,13,16,12,24,14,21
FBXW5,725,842,686,617,1433,2558,2325,1986,1462,1570,1477,1720,873,2309,2193,1831
FBXW7,78,82,72,64,182,199,202,171,715,531,608,632,725,621,625,562
FBXW8,166,150,127,141,334,381,397,324,558,637,741,608,411,672,662,694
FBXW9,108,84,77,78,242,298,285,203,302,333,375,339,233,422,451,312
FCAMR,2,4,8,8,0,7,11,12,0,2,10,15,1,6,11,1
FCAR,7,3,3,3,8,13,13,11,35,41,51,52,46,35,34,33
FCER1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCER1G,2,2,1,2,0,3,4,2,2,3,2,5,6,3,5,1
FCER2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCF1,216,155,149,120,431,439,446,362,1203,881,988,885,484,869,967,897
FCGBP,13,27,33,46,140,362,311,287,69,436,337,370,17,104,74,338
FCGR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGR1B,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
FCGR1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGR2A,4,2,3,10,5,18,21,9,17,15,19,14,17,9,12,14
FCGR2B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
FCGR2C,0,1,0,1,0,0,0,0,0,0,0,0,6,2,4,0
FCGR3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FCGR3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGRT,357,273,222,231,971,996,1038,892,621,1262,1126,1302,729,1521,1438,991
FCHO1,71,42,20,10,208,132,90,92,237,137,122,141,173,115,140,205
FCHO2,179,204,187,179,456,565,641,663,1208,2554,2945,2577,1166,2773,2536,2089
FCHSD1,154,109,99,89,296,320,299,256,609,823,793,825,887,776,757,777
FCHSD2,248,179,177,166,529,552,484,431,1279,1148,1088,1205,935,1193,1139,1210
FCN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCN3,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0
FCRL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL2,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,1
FCRL3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
FCRL4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FCRL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCRL6,0,0,0,0,0,1,1,0,1,2,1,2,2,0,2,0
FCRLA,0,0,0,1,0,0,1,1,16,6,13,15,12,15,9,94
FCRLB,35,32,23,27,74,74,82,88,117,83,77,70,45,120,73,97
FDCSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDFT1,502,455,495,500,1228,1647,2194,2039,5720,5815,8333,8398,3224,4025,5158,7162
FDPS,274,225,219,225,679,854,1021,960,4354,3754,4607,3868,3177,2836,3467,4660
FDPSP2,2,3,8,4,5,15,12,12,45,46,45,43,55,48,43,31
FDX1,142,124,111,92,272,327,310,264,541,504,606,572,378,601,553,472
FDX1L,85,88,66,82,160,311,262,209,275,323,375,373,159,299,346,362
FDXACB1,6,21,10,15,23,45,51,40,83,63,101,92,58,92,84,84
FDXR,119,143,79,85,276,337,282,212,451,376,371,380,257,507,405,337
FECH,169,190,141,112,392,603,536,451,937,1399,1353,1161,382,1485,1256,803
FEM1A,171,139,147,112,375,475,490,365,879,889,986,826,520,1016,1065,857
FEM1B,217,220,159,192,468,638,602,535,1354,1697,2017,1640,1081,1879,2194,1495
FEM1C,160,143,150,137,431,451,667,548,2406,2728,4226,3931,3829,2767,3384,3264
FEN1,61,88,65,44,152,233,212,161,2045,722,659,447,423,715,680,593
FENDRR,0,2,1,2,3,1,1,1,3,5,5,7,9,8,8,4
FER,27,17,24,19,55,82,78,50,201,253,256,244,130,307,371,348
FER1L4,252,77,81,96,380,161,185,132,590,479,511,487,3907,626,614,569
FER1L5,3,5,6,7,19,17,29,30,26,32,39,44,59,34,36,32
FER1L6,1,1,0,1,1,1,0,2,0,3,4,9,0,6,6,3
FER1L6-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FER1L6-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FERD3L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERMT1,80,46,44,40,216,189,137,116,1063,387,410,363,346,279,285,849
FERMT2,352,304,278,264,939,969,1016,901,2327,2180,2394,2160,1507,2268,2342,1689
FERMT3,3,0,3,1,10,7,6,4,29,15,6,8,45,14,18,10
FES,27,24,16,11,46,77,70,39,175,206,156,147,70,161,99,89
FETUB,0,0,0,0,2,1,1,0,5,5,9,10,3,6,4,9
FEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEZ1,44,37,28,23,49,72,65,34,151,106,117,98,72,78,81,64
FEZ2,204,155,151,158,567,555,582,554,1254,1067,1310,1203,685,1042,1151,1085
FEZF1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FEZF1-AS1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,2
FEZF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFAR1,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0
FFAR2,0,1,0,0,0,1,1,0,1,3,1,2,4,2,0,2
FFAR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
