Symbol,B3B,B4B,B5B,B6B,B8B,B9B
PLA2G7,3.098847567,3.580475988,3.873361564,4.147195984,2.760054933,2.973400595
PLA2R1,12.1608694,12.85809387,12.4387483,12.94091611,12.98718005,12.04576401
PLAA,10.21279356,10.42279794,10.26147548,10.52829529,10.11210134,10.34781278
PLAC4,10.94796106,11.34468343,10.61423843,10.735224,11.3310705,11.61212511
PLAC8,5.7263593,5.464766919,5.684145064,4.938253861,5.729925161,4.816857144
PLAC9,8.393880498,8.100208944,8.772476071,8.609380498,9.26269951,8.39890795
PLAG1,7.976217887,8.25886867,8.314534575,8.333700735,8.528746646,8.319127226
PLAGL1,10.6283496,10.28537087,10.3664299,10.18710724,10.33452211,10.27386627
PLAGL2,10.92432955,10.91930031,11.30064563,11.28970334,10.90438041,10.99094281
PLAT,11.68036633,11.71164121,11.83734599,12.11325778,11.52822823,11.83711918
PLAU,11.26891769,10.9055626,10.55698029,11.03354523,11.41872264,12.49853243
PLAUR,7.315853674,6.774664814,6.840615627,7.124764974,7.220254847,6.34809127
PLB1,7.09200202,6.645447341,6.663742294,6.840838682,6.887148155,6.47217857
PLBD1,10.12310851,10.25581778,10.18084514,10.48201612,10.29999213,10.09657272
PLBD1-AS1,6.815355774,7.0834968,7.276920733,6.939631976,6.640030076,6.602824156
PLBD2,11.38475376,11.23620477,11.33810383,11.18161267,10.59552098,11.09625011
PLCB1,11.07165236,10.97836425,10.27118784,10.8034676,11.4219257,11.33932715
PLCB1-IT1,5.496524758,6.299495117,5.292908511,5.977362499,6.03183144,6.580302015
PLCB2,9.689495522,9.240488598,9.575610051,9.480554324,9.364233185,8.823181537
PLCB3,10.95730739,10.7666456,11.11618828,10.87596079,10.71831053,10.90709474
PLCB4,9.566312966,9.212866742,9.172969743,8.799720065,9.26269951,8.974182116
PLCD1,10.78703717,10.96842193,10.85432434,10.54359958,10.71695396,10.4866001
PLCD3,10.14653945,9.673941614,9.586376547,9.842958718,9.932485689,10.2500113
PLCD4,10.95601354,11.3662376,11.28773693,10.8654839,10.74076403,10.65806959
PLCE1,11.15779523,12.14521262,11.50946811,11.75421901,12.05769999,11.34869172
