Symbol,N2A,N3A,N5B,N6B,N7B,N8B,N10B,N12B,N13B
MYO5C,11.22954473,11.28701882,10.77905808,11.19492483,11.01404191,11.78226649,11.17975795,11.05888438,10.93024491
MYO6,13.97904792,13.9654599,13.88353115,13.84291583,13.92112076,13.85462971,13.76642685,13.95756628,13.94252323
MYO7A,12.29519476,12.79089811,12.4657677,12.5753997,12.69497036,12.40917251,12.8384973,12.71095054,12.61897283
MYO7B,13.34773089,13.02960697,13.17704133,13.21314612,13.43836863,13.48528453,13.28687224,13.55141282,13.19051438
MYO9A,12.99927622,13.25666023,12.87813743,12.81624544,12.81853026,13.17344788,12.7834929,12.77998072,12.75160354
MYO9B,12.0919067,11.83844381,11.92659794,11.99771668,11.83039156,11.99004655,12.26779762,12.07563004,12.00597233
MYOC,6.31128508,6.493496133,6.098843363,6.50110454,6.521272781,8.04398286,5.82252188,5.691598713,5.132698699
MYOCD,7.849871266,7.124764974,8.423227401,7.153837311,7.506942641,8.12340908,7.436713321,7.782537987,7.957573038
MYOF,11.85301716,11.52121916,11.45173103,11.4124391,11.39895158,11.59894776,11.97822047,11.53448339,11.72402494
MYOM1,9.33661131,9.175175416,9.818312732,9.526811087,9.06112292,9.196700833,9.760878457,9.609846302,9.005057754
MYOM2,11.13708078,11.16936097,10.98247053,10.62637249,10.95753079,11.25484493,10.71484292,10.80454742,10.98208475
MYOM3,13.32661312,13.81087086,13.29942,14.18393682,13.97020446,13.111058,13.1669883,14.10300429,13.63200576
MYOT,7.171860638,7.212643513,6.88857471,6.909375359,7.532757115,7.201613626,6.623160835,7.066139899,6.552234516
MYOZ1,7.185369534,6.882626786,7.137238334,7.347300833,6.79812956,7.146334482,6.741191914,6.714522994,6.843169369
MYOZ2,5.584042184,6.004504069,5.649778126,4.934672925,5.691598713,6.79496561,4.416166294,5.691598713,5.284905053
MYOZ3,4.918482426,5.97280008,6.88857471,5.445216855,4.98945788,5.840198124,6.074579418,6.108030707,6.46922262
MYPN,3.261214595,4.955007674,3.301384602,1.04900997,4.79264792,4.25234898,2.376768533,2.012436927,2.829306484
MYPOP,9.50825716,9.42432604,9.892514228,10.02634628,9.536881633,9.904103878,9.637590134,9.67274556,9.728328921
MYRF,11.19410659,11.11884159,10.8015172,11.30693649,11.18259304,11.08435636,11.27686458,11.1191936,11.19911947
MYRFL,9.345297881,9.783439632,9.616582599,7.883846905,9.969193022,9.817635088,7.762267635,7.587585657,9.823578758
MYRIP,9.970924399,9.757409096,9.550995593,9.143930461,9.669235534,9.700839011,9.5682159,9.612149383,8.864681729
MYSM1,11.41643101,11.463579,11.24211027,11.28221127,11.26748033,11.22342737,11.31205549,11.1976011,11.42277266
MZB1,7.495686614,5.576220901,8.212537707,6.475639641,6.181149089,5.08884217,6.495833261,5.478157402,7.255503365
MZF1,10.8081097,10.40242336,10.56568207,10.73835448,10.77278309,10.89474194,10.87673312,10.75971302,10.53929958
MZF1-AS1,9.309460097,9.252237158,9.045206642,9.239451951,9.325827569,9.595139841,9.360584149,9.224412117,8.876718415
